eventid,iyear,imonth,iday,nkill
198902240004,1989,2,24,0
198711070011,1987,11,7,0
198103010007,1981,3,1,0
198208040006,1982,8,4,0
198308220010,1983,8,22,6
198708020001,1987,8,2,0
198505080009,1985,5,8,0
198211110007,1982,11,11,0
198911100010,1989,11,10,0
198102090017,1981,2,9,18
198411270003,1984,11,27,0
198802230008,1988,2,23,0
198905210007,1989,5,21,0
198002190002,1980,2,19,0
198902200005,1989,2,20,0
198111030004,1981,11,3,0
198810130001,1988,10,13,0
197909170002,1979,9,17,0
197811170004,1978,11,17,0
198704060007,1987,4,6,0
198801040004,1988,1,4,0
198804250010,1988,4,25,17
197611080002,1976,11,8,0
198103060005,1981,3,6,0
198903010014,1989,3,1,0
198110230012,1981,10,23,0
198009120007,1980,9,12,0
197803120009,1978,3,12,0
198010170002,1980,10,17,0
198506110007,1985,6,11,0
198902150009,1989,2,15,0
198105270002,1981,5,27,0
198505160018,1985,5,16,0
198103300002,1981,3,30,0
198210260010,1982,10,26,0
198603160006,1986,3,16,0
198604230006,1986,4,23,0
198705140003,1987,5,14,0
198806050003,1988,6,5,0
198506100005,1985,6,10,0
198211110005,1982,11,11,0
198105070004,1981,5,7,3
197812130006,1978,12,13,1
198303160015,1983,3,16,0
198308090006,1983,8,9,5
198707210007,1987,7,21,0
198704120002,1987,4,12,0
198108130006,1981,8,13,0
198901170011,1989,1,17,0
198305180001,1983,5,18,0
198803160002,1988,3,16,0
197803120005,1978,3,12,0
198102030006,1981,2,3,0
198904120011,1989,4,12,0
198609140003,1986,9,14,0
198505080003,1985,5,8,0
197602270001,1976,2,27,0
198904040011,1989,4,4,0
198701100003,1987,1,10,0
198012150001,1980,12,15,0
198506100009,1985,6,10,0
198903010012,1989,3,1,0
197905120004,1979,5,12,0
198102080004,1981,2,8,0
198711190030,1987,11,19,0
198505160047,1985,5,16,0
198802230007,1988,2,23,0
198803120002,1988,3,12,0
198207060002,1982,7,6,0
198202020002,1982,2,2,0
198401260014,1984,1,26,0
198401070004,1984,1,7,0
198711060005,1987,11,6,0
197704110002,1977,4,11,0
198704090011,1987,4,9,3
198901170009,1989,1,17,0
197811080005,1978,11,8,0
198204010008,1982,4,1,3
198802190010,1988,2,19,0
198901250012,1989,1,25,4
198309290001,1983,9,29,0
198104190003,1981,4,19,0
198505160046,1985,5,16,0
198802140001,1988,2,14,0
198103310002,1981,3,31,0
198711190025,1987,11,19,0
198403040004,1984,3,4,0
198108170010,1981,8,17,0
198602020003,1986,2,2,0
198104030007,1981,4,3,0
198110230007,1981,10,23,0
198810170002,1988,10,17,0
197909170003,1979,9,17,0
197902130011,1979,2,13,1
198104020004,1981,4,2,3
198201040005,1982,1,4,0
198909020017,1989,9,2,0
198805030014,1988,5,3,0
198509090004,1985,9,9,0
198802120001,1988,2,12,0
198004190002,1980,4,19,0
198207030001,1982,7,3,0
198505170003,1985,5,17,0
198501030010,1985,1,3,0
198009080001,1980,9,8,0
198601220011,1986,1,22,0
198309220003,1983,9,22,0
198711190015,1987,11,19,0
198506100013,1985,6,10,0
197908040016,1979,8,4,0
198611150006,1986,11,15,0
198803150003,1988,3,15,0
197211050001,1972,11,5,0
198704280005,1987,4,28,0
198408260008,1984,8,26,0
197905210004,1979,5,21,0
197803120006,1978,3,12,0
198804240003,1988,4,24,0
198907100002,1989,7,10,0
198801130004,1988,1,13,0
198510090003,1985,10,9,2
198811120006,1988,11,12,0
198812060010,1988,12,6,0
198704120005,1987,4,12,0
198810070002,1988,10,7,0
198505160011,1985,5,16,0
198807020007,1988,7,2,0
198506100003,1985,6,10,0
198810060007,1988,10,6,0
198505170005,1985,5,17,0
198601120002,1986,1,12,0
198308080007,1983,8,8,0
198803180002,1988,3,18,0
198505080008,1985,5,8,0
198910090029,1989,10,9,0
198711190004,1987,11,19,0
198611150007,1986,11,15,0
198901110012,1989,1,11,0
198309060005,1983,9,6,0
198706130009,1987,6,13,0
198805030013,1988,5,3,0
198810160001,1988,10,16,0
198108080005,1981,8,8,0
198802080001,1988,2,8,0
198112280004,1981,12,28,0
198802150008,1988,2,15,0
198011210003,1980,11,21,2
198611150005,1986,11,15,0
198605130006,1986,5,13,0
198311140010,1983,11,14,0
198904050019,1989,4,5,0
198304180006,1983,4,18,6
198008190017,1980,8,19,0
198309000003,1983,9,0,0
198107220005,1981,7,22,0
198802130004,1988,2,13,0
198102030010,1981,2,3,0
198303040003,1983,3,4,0
197910290001,1979,10,29,0
198403000001,1984,3,0,11
198810070004,1988,10,7,0
198003170002,1980,3,17,0
198009120002,1980,9,12,0
198712040001,1987,12,4,0
198004250001,1980,4,25,0
197910280003,1979,10,28,0
198111180004,1981,11,18,4
198812150005,1988,12,15,0
198905210006,1989,5,21,0
197905220003,1979,5,22,0
198110190027,1981,10,19,0
198905110011,1989,5,11,0
198008190004,1980,8,19,0
198212180001,1982,12,18,0
198009110001,1980,9,11,0
198603160003,1986,3,16,0
198711060007,1987,11,6,0
198009080005,1980,9,8,0
198904120009,1989,4,12,0
198105080001,1981,5,8,0
198105250008,1981,5,25,2
198601220006,1986,1,22,0
198106230002,1981,6,23,0
198309230003,1983,9,23,0
198411270004,1984,11,27,0
198009110003,1980,9,11,0
197902010006,1979,2,1,7
198110100002,1981,10,10,0
198604230012,1986,4,23,0
198203010005,1982,3,1,0
198802140002,1988,2,14,0
198807020013,1988,7,2,0
